City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
49,zeya,53.75,127.2667,-33.37,95,100,1.18,RU,1674518698
50,malindi,-3.2175,40.1191,24.96,84,98,4.02,KE,1674518699
51,kudahuvadhoo,2.6708,72.8944,26.42,72,97,1.57,MV,1674518699
52,busselton,-33.65,115.3333,21.71,64,0,7.57,AU,1674518699
53,saint anthony,45.0205,-93.218,-0.04,90,100,2.57,US,1674518700
54,gagino,55.2314,45.0339,-16.28,96,100,2.23,RU,1674518700
55,gimli,50.6336,-96.9907,-17.71,97,92,2.45,CA,1674518435
56,ngunguru,-35.6167,174.5,20.31,78,97,5.25,NZ,1674518701
57,yellowknife,62.456,-114.3525,-18.2,97,100,3.52,CA,1674518438
58,castro,-24.7911,-50.0119,17.34,90,52,1.45,BR,1674518702
59,hilo,19.7297,-155.09,28.49,75,75,6.17,US,1674518680
60,yulara,-25.2406,130.9889,28.5,25,14,6.52,AU,1674518703
61,barrow,71.2906,-156.7887,-21.99,84,100,6.69,US,1674518703
62,lagoa,39.05,-27.9833,14.92,79,82,12.58,PT,1674518704
63,yugorsk,61.3133,63.3319,-12.65,93,30,2.54,RU,1674518704
64,saint george,37.1041,-113.5841,7.33,36,0,2.68,US,1674518413
65,sao filipe,14.8961,-24.4956,21.25,63,23,3.08,CV,1674518705
66,alice springs,-23.7,133.8833,31.75,40,51,3.09,AU,1674518706
67,bambous virieux,-20.3428,57.7575,24.01,75,100,0.57,MU,1674518706
68,grand-lahou,5.1367,-5.0242,26.51,85,61,4.0,CI,1674518707
69,bundaberg,-24.85,152.35,27.88,57,3,2.89,AU,1674518707
70,praia da vitoria,38.7333,-27.0667,14.86,87,98,9.54,PT,1674518708
71,dikson,73.5069,80.5464,-24.52,84,100,14.7,RU,1674518709
72,micheweni,-4.9667,39.8333,26.68,81,100,4.3,TZ,1674518709
73,tartus,34.889,35.8866,14.44,61,0,3.69,SY,1674518710
74,aktas,49.7789,72.9608,-16.14,100,97,0.75,KZ,1674518710
75,nabire,-3.3667,135.4833,25.69,86,100,1.19,ID,1674518710
76,auki,-8.7676,160.7034,25.86,85,100,0.52,SB,1674518711
77,nakamura,32.9833,132.9333,6.7,87,47,3.67,JP,1674518712
78,kifri,34.6959,44.9661,9.48,45,0,4.05,IQ,1674518712
79,palu,-0.8917,119.8707,26.59,83,100,0.65,ID,1674518713
80,sechura,-5.5569,-80.8222,23.29,68,28,5.21,PE,1674518713
81,lebu,-37.6167,-73.65,17.82,88,23,3.32,CL,1674518714
82,dwarka,22.2394,68.9678,18.16,47,0,7.42,IN,1674518714
83,anadyr,64.75,177.4833,-20.72,65,0,4.0,RU,1674518475
84,tasiilaq,65.6145,-37.6368,-3.91,69,100,2.62,GL,1674518715
85,east liverpool,40.6187,-80.5773,0.96,93,100,4.41,US,1674518715
86,dawson creek,55.7666,-120.2362,4.38,65,82,8.54,CA,1674518716
87,san patricio,28.017,-97.5169,17.92,63,93,7.57,US,1674518716
88,ilulissat,69.2167,-51.1,-9.99,79,100,0.0,GL,1674518717
89,iqaluit,63.7506,-68.5145,-27.15,97,97,1.06,CA,1674518524
90,marsa matruh,31.3525,27.2453,15.79,73,0,3.54,EG,1674518717
91,akdagmadeni,39.6603,35.8836,0.79,70,36,0.41,TR,1674518718
92,spencer,43.1414,-95.1444,-0.7,85,20,5.14,US,1674518718
93,cape town,-33.9258,18.4232,21.88,71,4,1.79,ZA,1674518719
94,nanortalik,60.1432,-45.2371,-0.6,69,100,3.51,GL,1674518719
95,hobart,-42.8794,147.3294,23.92,59,20,2.57,AU,1674518428
96,nampula,-15.1165,39.2666,20.51,96,100,3.45,MZ,1674518424
97,east london,-33.0153,27.9116,24.95,82,26,4.49,ZA,1674518600
98,port elizabeth,-33.918,25.5701,23.16,87,0,10.8,ZA,1674518721
99,marabba,12.35,32.1833,23.22,33,14,5.58,SD,1674518722
100,luanda,-8.8368,13.2343,25.86,79,100,1.48,AO,1674518672
101,fort nelson,58.8053,-122.7002,-7.47,97,97,0.7,CA,1674518723
102,loviisa,60.4566,26.2251,-0.95,87,85,6.21,FI,1674518724
103,fortuna,40.5982,-124.1573,14.19,75,0,5.66,US,1674518724
104,bluff,-46.6,168.3333,13.46,56,54,3.3,NZ,1674518725
105,naze,28.3667,129.4833,13.02,79,93,12.38,JP,1674518726
106,kaitangata,-46.2817,169.8464,15.74,52,44,3.71,NZ,1674518726
107,santa cruz de la palma,28.6835,-17.7642,18.08,59,75,4.63,ES,1674518727
108,synya,65.3718,58.0387,-7.4,92,100,5.58,RU,1674518727
109,muli,2.9167,73.5667,26.32,73,69,1.83,MV,1674518728
110,plouzane,48.3833,-4.6167,4.03,90,100,2.06,FR,1674518728
111,puerto ayora,-0.7393,-90.3518,24.19,95,57,4.02,EC,1674518729
112,adrar,20.5022,-10.0711,18.0,15,0,4.21,MR,1674518730
113,solnechnyy,50.7214,136.6319,-33.21,96,100,0.29,RU,1674518730
114,khuzhir,53.1939,107.3397,-26.37,95,100,4.99,RU,1674518731
115,saskylakh,71.9167,114.0833,-21.29,80,100,1.74,RU,1674518731
116,georgetown,5.4112,100.3354,25.96,94,20,0.0,MY,1674518732
117,namibe,-15.1961,12.1522,23.0,84,99,1.32,AO,1674518732
118,periam,46.05,20.8667,5.1,82,97,1.83,RO,1674518733
119,kiunga,-6.1219,141.2906,24.33,91,100,0.4,PG,1674518733
120,khatanga,71.9667,102.5,-41.2,95,58,2.49,RU,1674518734
121,puerto escondido,15.85,-97.0667,27.46,69,0,2.57,MX,1674518734
122,airai,-8.9266,125.4092,18.2,79,100,0.82,TL,1674518735
123,ahipara,-35.1667,173.1667,22.48,66,100,2.07,NZ,1674518736
124,vila,42.0304,-8.1588,0.49,82,7,2.49,PT,1674518736
125,meulaboh,4.1363,96.1285,23.64,93,100,4.41,ID,1674518736
126,walvis bay,-22.9575,14.5053,18.59,82,62,4.42,NA,1674518737
127,masindi,1.6744,31.715,21.24,48,100,1.09,UG,1674518737
128,gannan,47.9147,123.5031,-28.09,80,13,3.24,CN,1674518738
129,norman wells,65.282,-126.8329,-20.66,99,100,1.0,CA,1674518738
130,caibarien,22.5206,-79.4669,25.62,84,1,4.47,CU,1674518739
131,isangel,-19.55,169.2667,29.69,71,60,3.5,VU,1674518739
132,miravci,41.3078,22.435,7.79,93,97,1.24,MK,1674518740
133,alexandria,31.2156,29.9553,16.08,72,0,4.22,EG,1674518528
134,portel,-1.9356,-50.8211,23.32,95,87,2.38,BR,1674518740
135,margate,51.3813,1.3862,5.5,79,100,2.24,GB,1674518505
136,namatanai,-3.6667,152.4333,29.39,67,65,3.6,PG,1674518741
137,beloha,-25.1667,45.05,23.86,80,100,7.67,MG,1674518741
138,port hawkesbury,45.6169,-61.3485,8.51,100,100,2.06,CA,1674518458
139,morristown,36.214,-83.2949,2.9,75,40,0.0,US,1674518742
140,san andres,12.5847,-81.7006,28.01,74,20,7.72,CO,1674518743
141,marienburg,54.0359,19.0266,-0.06,88,9,0.44,PL,1674518743
142,husavik,66.0449,-17.3389,-3.62,61,100,4.42,IS,1674518744
143,ambagarh chauki,20.7833,80.7167,15.48,46,7,2.3,IN,1674518744
144,pauini,-7.7136,-66.9764,22.24,98,100,0.63,BR,1674518745
145,priamurskiy,48.5217,134.9028,-34.77,99,97,0.18,RU,1674518745
